experiment,"samples=100,val_ratio=10%_accuracy","samples=100,val_ratio=10%_val_loss_mean","samples=100,val_ratio=10%_val_loss_final","samples=100,val_ratio=20%_accuracy","samples=100,val_ratio=20%_val_loss_mean","samples=100,val_ratio=20%_val_loss_final","samples=100,val_ratio=30%_accuracy","samples=100,val_ratio=30%_val_loss_mean","samples=100,val_ratio=30%_val_loss_final","samples=500,val_ratio=10%_accuracy","samples=500,val_ratio=10%_val_loss_mean","samples=500,val_ratio=10%_val_loss_final","samples=500,val_ratio=20%_accuracy","samples=500,val_ratio=20%_val_loss_mean","samples=500,val_ratio=20%_val_loss_final","samples=500,val_ratio=30%_accuracy","samples=500,val_ratio=30%_val_loss_mean","samples=500,val_ratio=30%_val_loss_final","samples=1000,val_ratio=10%_accuracy","samples=1000,val_ratio=10%_val_loss_mean","samples=1000,val_ratio=10%_val_loss_final","samples=1000,val_ratio=20%_accuracy","samples=1000,val_ratio=20%_val_loss_mean","samples=1000,val_ratio=20%_val_loss_final","samples=1000,val_ratio=30%_accuracy","samples=1000,val_ratio=30%_val_loss_mean","samples=1000,val_ratio=30%_val_loss_final",best_dataset_by_min_val_loss
"lr_decay=0.05,batch_size=16,layers=[100,50,20,3]",1.0,0.044335874698677565,0.007195940175741499,1.0,0.07207130973142784,0.04077681794544862,1.0,0.07614600770243468,0.047009320446789155,1.0,0.032151798187163,0.0014378738554756,1.0,0.023284428019250184,0.001554292482817559,1.0,0.0327773493442996,0.0013905669202010332,1.0,0.01694815835001304,6.482713784539472e-05,1.0,0.013507620574937514,0.00014103011944039754,1.0,0.015608110723558702,0.00026384241754334953,"samples=1000,val_ratio=20%"
"lr_decay=0.05,batch_size=8,layers=[100,50,20,3]",1.0,0.03552718206482164,0.0013838177330229113,1.0,0.022228838707671332,0.0002599369681438002,1.0,0.07495405699019228,0.04519315120487387,1.0,0.02126441533326605,0.0008303743348834243,1.0,0.021602633271807163,0.0014460931388198298,1.0,0.03554136512268171,0.001480976454206761,1.0,0.013415704445031826,3.421269682764749e-05,1.0,0.009681477072720848,9.655047397776259e-05,1.0,0.013553532526330035,0.0002279965758696783,"samples=1000,val_ratio=20%"
"lr_decay=0.01,batch_size=16,layers=[100,50,15,3]",1.0,0.03863718491447072,0.0007290880528081175,1.0,0.056289017520384725,0.01340894573547752,1.0,0.04134520067934219,0.001753778241102964,1.0,0.03360795159753125,0.000676182447267557,0.98,0.026526474017760173,0.0038661742698355597,1.0,0.02025762107570424,0.0011700090060983515,1.0,0.020649929600539567,0.00016448579569875672,1.0,0.01408601439134096,7.791194504225336e-05,1.0,0.0186104434258583,8.84844852335973e-05,"samples=1000,val_ratio=20%"
"lr_decay=0.01,batch_size=8,layers=[100,50,15,3]",1.0,0.042876919424523506,0.001094357474406878,1.0,0.037849065787347716,0.0019098857620412503,1.0,0.03498517004933677,0.0006955022368563638,1.0,0.023144940236903867,0.00027718394886497023,0.98,0.020607169354171437,0.004279116656018971,0.9933333333333333,0.01762473985501483,0.0012880980838813718,1.0,0.01369516283077607,5.6083071311264245e-05,1.0,0.009947764109218866,3.958780416619729e-05,1.0,0.014734527873933543,5.6881468715718676e-05,"samples=1000,val_ratio=20%"
"lr_decay=0.02,batch_size=16,layers=[100,50,15,3]",1.0,0.04238087083476843,0.0014168323185350046,1.0,0.04165828231111636,0.0034457649161525935,1.0,0.03982271544819668,0.0018782445918602718,1.0,0.033190852897383945,0.0006940068173000038,0.98,0.023831012776229576,0.003991090384121221,1.0,0.020156516525663217,0.0011521476068699873,1.0,0.01788115918281423,0.0001080522535260473,1.0,0.013574359978160592,7.464875945049222e-05,1.0,0.018238935043420553,8.818195679044944e-05,"samples=1000,val_ratio=20%"
"lr_decay=0.02,batch_size=8,layers=[100,50,15,3]",1.0,0.04310142817133718,0.0012415158593053154,1.0,0.04320715295652397,0.003319861746867158,1.0,0.028370148333419314,0.0003510994219114427,1.0,0.021730484283331585,0.00024190736889323172,0.98,0.022287722836018552,0.0041623913210712005,1.0,0.01718888768977123,0.0012814082229001672,1.0,0.012981172079018713,4.897784338677075e-05,1.0,0.010067278193594795,4.111742080388819e-05,1.0,0.014303934710616724,5.526076307965918e-05,"samples=1000,val_ratio=20%"
"lr_decay=0.05,batch_size=16,layers=[100,50,15,3]",1.0,0.04227234361756491,0.003253483473311201,1.0,0.0675493283836591,0.04417383465673246,1.0,0.03955812983177065,0.004748794031701402,1.0,0.03661333583855969,0.0009772880046056659,0.98,0.022581475007865188,0.003955927989737532,1.0,0.020157949094191482,0.0011060986465886978,1.0,0.017670887440150013,0.00011495205727399649,1.0,0.01413447349863511,9.138971549351398e-05,1.0,0.018049003026916626,9.82348287856464e-05,"samples=1000,val_ratio=20%"
"lr_decay=0.05,batch_size=8,layers=[100,50,15,3]",1.0,0.03782689802211682,0.0010272819143294309,1.0,0.0414954099167195,0.0038956011945688257,1.0,0.03327413879160314,0.0011329380578846253,1.0,0.025635372965926696,0.0003892712339060638,0.98,0.02014317827328128,0.004231994162688668,1.0,0.016921541663009892,0.001248139519861076,1.0,0.013688182176109648,5.881400593562957e-05,1.0,0.010655410598375124,4.921412373757179e-05,1.0,0.014929616078314823,6.393814834780954e-05,"samples=1000,val_ratio=20%"
"lr_decay=0.01,batch_size=16,layers=[100,50,10,3]",0.7,0.08148441410593703,0.04913770675612087,1.0,0.06167212159545669,0.01961923881390387,1.0,0.03600273060966923,0.0014235816027006187,1.0,0.02464632034777056,0.0006901737058024167,1.0,0.02085368615830567,0.0018830665914367987,0.98,0.02947557240557736,0.004895517097314695,0.99,0.014056544788028058,0.0014651353679618433,1.0,0.0200043910914444,0.0006346221555446704,0.98,0.020259796639197462,0.0043839498772161225,"samples=1000,val_ratio=10%"
"lr_decay=0.01,batch_size=8,layers=[100,50,10,3]",1.0,0.03770540997771068,0.0010253387360432261,1.0,0.07048679063277695,0.039046481409859,1.0,0.02978912396055778,0.0006104609836407657,1.0,0.019352106203560804,0.0005094139118155331,1.0,0.022506348686345788,0.0022120118587167946,0.98,0.024894634229924512,0.004590366578198648,0.99,0.013094239176932818,0.001532554011823851,1.0,0.014140666839582736,0.0006041165222585716,0.9966666666666667,0.012019393947449178,0.0033277454289112364,"samples=1000,val_ratio=30%"
"lr_decay=0.02,batch_size=16,layers=[100,50,10,3]",0.8,0.07699450900698651,0.04703852155401023,1.0,0.04359368438929555,0.0028801536209647548,0.9666666666666667,0.07280627695734095,0.0466384773938574,1.0,0.022740521418019764,0.0006232242023231001,0.99,0.0228996696077088,0.002409408537336566,0.98,0.02796517426576864,0.004846640310396871,0.99,0.027567323964149563,0.0022116060041210855,1.0,0.018964144574042493,0.0006129934410522207,0.9733333333333334,0.028290628028873385,0.0054260852493873205,"samples=1000,val_ratio=20%"
"lr_decay=0.02,batch_size=8,layers=[100,50,10,3]",0.4,0.10796986130402038,0.10790018953702461,1.0,0.04907862872604341,0.004265035746344272,1.0,0.030079309587518845,0.0007329861938642195,1.0,0.017265981328531903,0.0004722250701229422,0.98,0.025948493032897636,0.0029820300337560003,0.98,0.022348653522317838,0.00456886703378835,0.99,0.006370686852543835,0.002218939632607743,1.0,0.01139089693129244,0.0006175262851987388,0.9866666666666667,0.01424853594058781,0.0036022555857257283,"samples=1000,val_ratio=10%"
"lr_decay=0.05,batch_size=16,layers=[100,50,10,3]",0.4,0.10806308003328631,0.10884357472670797,1.0,0.07638628745557771,0.05167830653975805,1.0,0.023710981771930806,0.0026973003865377165,1.0,0.027040022954415165,0.0009138869377279165,0.99,0.02361121711486706,0.0028905402874783216,0.98,0.034638915460056194,0.006005411867067748,0.99,0.009282061731577373,0.0015204098122821726,1.0,0.016949020435991075,0.000621577912553739,0.98,0.01951083650335674,0.004414855982434673,"samples=1000,val_ratio=10%"
"lr_decay=0.05,batch_size=8,layers=[100,50,10,3]",1.0,0.03474648923308902,0.0012452807458503163,1.0,0.07889381452077854,0.052118903275846465,1.0,0.026426929927360458,0.0009497190388781972,1.0,0.01903137635928147,0.0005340449497417819,1.0,0.01974380229737106,0.0019110841754722912,0.98,0.038545311445741165,0.006734391624485352,0.99,0.005191219373414728,0.002321677895472517,1.0,0.012359833032889811,0.0006171446541533826,0.98,0.014958968550031714,0.0039973372578994614,"samples=1000,val_ratio=10%"
"lr_decay=0.01,batch_size=16,layers=[100,50,5,3]",0.8,0.0773402944491906,0.05099791199141232,0.95,0.04501146696726717,0.011479618597286715,0.8333333333333334,0.07558697664007136,0.05165401926228145,0.98,0.03783115063348097,0.0070275112517530535,0.98,0.03729004068817832,0.003836071875644754,0.98,0.04489086083053641,0.0065388472415187,1.0,0.01552566068124786,0.00030030568395500955,0.93,0.0590928162954384,0.02695093336096767,0.9966666666666667,0.021971057918217476,0.0011342614306788317,"samples=1000,val_ratio=10%"
"lr_decay=0.01,batch_size=8,layers=[100,50,5,3]",0.6,0.07108691341412429,0.050318049381018144,0.95,0.03331236899814114,0.00920348067965165,1.0,0.036498956853339815,0.00202177595947932,0.98,0.03722797922795462,0.007856958613442868,0.98,0.03545099481044722,0.0036105219652013544,0.9933333333333333,0.04393045428603592,0.006148595355187789,1.0,0.008932757206950174,0.00011094055720646497,0.98,0.008524378456634105,0.005484082338281185,0.9966666666666667,0.02779864918032905,0.001728888396142859,"samples=1000,val_ratio=20%"
"lr_decay=0.02,batch_size=16,layers=[100,50,5,3]",0.6,0.06968521869217591,0.05047218761275555,0.95,0.047594342099576525,0.013887241946600955,0.8333333333333334,0.07917492837212124,0.053005271566796894,0.98,0.04243672780972909,0.00737216429029381,0.98,0.036986543669616324,0.003888433920146097,1.0,0.048167046377312915,0.006641058904104717,1.0,0.017410013422163133,0.0003888491823351044,0.975,0.013766121302818195,0.006639901602526093,0.9966666666666667,0.023005836195116196,0.0012211464961517152,"samples=1000,val_ratio=20%"
